code,titre,description,axe_strategique,programme_code,projet_code,zer_code,localite_code,statut,date_debut_prevue,date_fin_prevue,date_debut_effective,date_fin_effective,responsable
GEN-001-INSTITUTIONNALISATION,Action genre 01 - Institutionnalisation Genre,Action structurante du PNER pour institutionnalisation genre liée au projet PRJ-PUERG-KINDIA-001.,INSTITUTIONNALISATION_GENRE,PUERG,PRJ-PUERG-KINDIA-001,ZER-KINDIA,LOC-FILIGBE,PLANIFIEE,2024-02-01,2024-12-31,2024-03-01,,Cellule Genre AGER
GEN-002-INTEGRATION,Action genre 02 - Integration Projets,Action structurante du PNER pour integration projets liée au projet PRJ-PUERG-TELIMELE-001.,INTEGRATION_PROJETS,PUERG,PRJ-PUERG-TELIMELE-001,ZER-KINDIA,LOC-GBEREAKHORY-CENTRE,EN_COURS,2025-02-01,2025-12-31,,,Coordination PUERG
GEN-003-SENSIBILISATION,Action genre 03 - Sensibilisation Communication,Action structurante du PNER pour sensibilisation communication liée au projet PRJ-PUERG-GENRE-001.,SENSIBILISATION_COMMUNICATION,PUERG,PRJ-PUERG-GENRE-001,ZER-KINDIA,LOC-GOLEAH,REALISEE,2026-02-01,2026-12-31,,2026-11-30,Point focal SSE genre
GEN-004-RENFORCEMENT,Action genre 04 - Renforcement Capacites,Action structurante du PNER pour renforcement capacites liée au projet PRJ-PERMT-LABE-001.,RENFORCEMENT_CAPACITES,PERMT,PRJ-PERMT-LABE-001,ZER-LABE,,SUSPENDUE,2027-02-01,2027-12-31,2027-03-01,,ONG locale partenaire
GEN-005-ENTREPRENARIAT,Action genre 05 - Entreprenariat Feminin,Action structurante du PNER pour entreprenariat feminin liée au projet PRJ-PERMT-MAMOU-001.,ENTREPRENARIAT_FEMININ,PERMT,PRJ-PERMT-MAMOU-001,ZER-MAMOU,LOC-KOLLY,ANNULEE,2024-02-01,2024-12-31,,,Direction régionale énergie
GEN-006-SUIVI,Action genre 06 - Suivi Evaluation Genre,Action structurante du PNER pour suivi evaluation genre liée au projet PRJ-PUERG-KINDIA-001.,SUIVI_EVALUATION_GENRE,PUERG,PRJ-PUERG-KINDIA-001,ZER-KINDIA,LOC-SOINDE,PLANIFIEE,2025-02-01,2025-12-31,,,Cellule Genre AGER
GEN-007-INSTITUTIONNALISATION,Action genre 07 - Institutionnalisation Genre,Action structurante du PNER pour institutionnalisation genre liée au projet PRJ-PUERG-TELIMELE-001.,INSTITUTIONNALISATION_GENRE,PUERG,PRJ-PUERG-TELIMELE-001,ZER-KINDIA,LOC-MALEYA,EN_COURS,2026-02-01,2026-12-31,2026-03-01,,Coordination PUERG
GEN-008-INTEGRATION,Action genre 08 - Integration Projets,Action structurante du PNER pour integration projets liée au projet PRJ-PUERG-GENRE-001.,INTEGRATION_PROJETS,PUERG,PRJ-PUERG-GENRE-001,ZER-KINDIA,,REALISEE,2027-02-01,2027-12-31,,2027-11-30,Point focal SSE genre
GEN-009-SENSIBILISATION,Action genre 09 - Sensibilisation Communication,Action structurante du PNER pour sensibilisation communication liée au projet PRJ-PERMT-LABE-001.,SENSIBILISATION_COMMUNICATION,PERMT,PRJ-PERMT-LABE-001,ZER-LABE,LOC-HOUNSIRE,SUSPENDUE,2024-02-01,2024-12-31,,,ONG locale partenaire
GEN-010-RENFORCEMENT,Action genre 10 - Renforcement Capacites,Action structurante du PNER pour renforcement capacites liée au projet PRJ-PERMT-MAMOU-001.,RENFORCEMENT_CAPACITES,PERMT,PRJ-PERMT-MAMOU-001,ZER-MAMOU,LOC-MENYERE-LEY,ANNULEE,2025-02-01,2025-12-31,2025-03-01,,Direction régionale énergie
GEN-011-ENTREPRENARIAT,Action genre 11 - Entreprenariat Feminin,Action structurante du PNER pour entreprenariat feminin liée au projet PRJ-PUERG-KINDIA-001.,ENTREPRENARIAT_FEMININ,PUERG,PRJ-PUERG-KINDIA-001,ZER-KINDIA,LOC-FILIGBE,PLANIFIEE,2026-02-01,2026-12-31,,,Cellule Genre AGER
GEN-012-SUIVI,Action genre 12 - Suivi Evaluation Genre,Action structurante du PNER pour suivi evaluation genre liée au projet PRJ-PUERG-TELIMELE-001.,SUIVI_EVALUATION_GENRE,PUERG,PRJ-PUERG-TELIMELE-001,ZER-KINDIA,,EN_COURS,2027-02-01,2027-12-31,,,Coordination PUERG
GEN-013-INSTITUTIONNALISATION,Action genre 13 - Institutionnalisation Genre,Action structurante du PNER pour institutionnalisation genre liée au projet PRJ-PUERG-GENRE-001.,INSTITUTIONNALISATION_GENRE,PUERG,PRJ-PUERG-GENRE-001,ZER-KINDIA,LOC-GOLEAH,REALISEE,2024-02-01,2024-12-31,2024-03-01,2024-11-30,Point focal SSE genre
