action_code,projet_code,localite_code,categorie_beneficiaire,nombre_hommes,nombre_femmes,nombre_jeunes,nombre_personnes_vulnerables,commentaire
GEN-001-INSTITUTIONNALISATION,PRJ-PUERG-KINDIA-001,LOC-FILIGBE,MENAGES,25,35,18,5,Bénéficiaires genre menages suivis dans LOC-FILIGBE
GEN-002-INTEGRATION,PRJ-PUERG-TELIMELE-001,LOC-GOLEAH,ENTREPRENEURS,30,42,27,8,Bénéficiaires genre entrepreneurs suivis dans LOC-GOLEAH
GEN-003-SENSIBILISATION,PRJ-PUERG-GENRE-001,LOC-KOLLY,FEMMES,35,49,36,11,Bénéficiaires genre femmes suivis dans LOC-KOLLY
GEN-004-RENFORCEMENT,PRJ-PERMT-LABE-001,LOC-MALEYA,JEUNES,40,56,45,14,Bénéficiaires genre jeunes suivis dans LOC-MALEYA
GEN-005-ENTREPRENARIAT,PRJ-PERMT-MAMOU-001,LOC-HOUNSIRE,INFRASTRUCTURES_COMMUNAUTAIRES,45,63,54,17,Bénéficiaires genre infrastructures_communautaires suivis dans LOC-HOUNSIRE
GEN-006-SUIVI,PRJ-PUERG-KINDIA-001,LOC-FILIGBE,GROUPE_VULNERABLE,50,70,63,20,Bénéficiaires genre groupe_vulnerable suivis dans LOC-FILIGBE
GEN-007-INSTITUTIONNALISATION,PRJ-PUERG-TELIMELE-001,LOC-GOLEAH,AUTRE,55,77,72,23,Bénéficiaires genre autre suivis dans LOC-GOLEAH
GEN-008-INTEGRATION,PRJ-PUERG-GENRE-001,LOC-SOINDE,MENAGES,60,84,81,26,Bénéficiaires genre menages suivis dans LOC-SOINDE
GEN-009-SENSIBILISATION,PRJ-PERMT-LABE-001,LOC-BORIRE,ENTREPRENEURS,65,91,90,29,Bénéficiaires genre entrepreneurs suivis dans LOC-BORIRE
GEN-010-RENFORCEMENT,PRJ-PERMT-MAMOU-001,LOC-MENYERE-LEY,FEMMES,70,98,99,32,Bénéficiaires genre femmes suivis dans LOC-MENYERE-LEY
GEN-011-ENTREPRENARIAT,PRJ-PUERG-KINDIA-001,LOC-GBEREAKHORY-CENTRE,JEUNES,75,105,108,35,Bénéficiaires genre jeunes suivis dans LOC-GBEREAKHORY-CENTRE
GEN-012-SUIVI,PRJ-PUERG-TELIMELE-001,LOC-SECTEUR-HAFIA-I,INFRASTRUCTURES_COMMUNAUTAIRES,80,112,117,38,Bénéficiaires genre infrastructures_communautaires suivis dans LOC-SECTEUR-HAFIA-I
GEN-013-INSTITUTIONNALISATION,PRJ-PUERG-GENRE-001,LOC-SOINDE,GROUPE_VULNERABLE,85,119,126,41,Bénéficiaires genre groupe_vulnerable suivis dans LOC-SOINDE
GEN-014-INTEGRATION,PRJ-PERMT-LABE-001,LOC-BORIRE,AUTRE,90,126,135,44,Bénéficiaires genre autre suivis dans LOC-BORIRE
GEN-015-SENSIBILISATION,PRJ-PERMT-MAMOU-001,LOC-FILIGBE,MENAGES,95,133,144,47,Bénéficiaires genre menages suivis dans LOC-FILIGBE
GEN-016-RENFORCEMENT,PRJ-PUERG-KINDIA-001,LOC-GOLEAH,ENTREPRENEURS,100,140,153,50,Bénéficiaires genre entrepreneurs suivis dans LOC-GOLEAH
GEN-017-ENTREPRENARIAT,PRJ-PUERG-TELIMELE-001,LOC-KOLLY,FEMMES,105,147,162,53,Bénéficiaires genre femmes suivis dans LOC-KOLLY
GEN-018-SUIVI,PRJ-PUERG-GENRE-001,LOC-MALEYA,JEUNES,110,154,171,56,Bénéficiaires genre jeunes suivis dans LOC-MALEYA
GEN-019-INSTITUTIONNALISATION,PRJ-PERMT-LABE-001,LOC-HOUNSIRE,INFRASTRUCTURES_COMMUNAUTAIRES,115,161,180,59,Bénéficiaires genre infrastructures_communautaires suivis dans LOC-HOUNSIRE
GEN-020-INTEGRATION,PRJ-PERMT-MAMOU-001,LOC-FILIGBE,GROUPE_VULNERABLE,120,168,189,62,Bénéficiaires genre groupe_vulnerable suivis dans LOC-FILIGBE
GEN-021-SENSIBILISATION,PRJ-PUERG-KINDIA-001,LOC-GOLEAH,AUTRE,125,175,18,65,Bénéficiaires genre autre suivis dans LOC-GOLEAH
GEN-022-RENFORCEMENT,PRJ-PUERG-TELIMELE-001,LOC-SOINDE,MENAGES,130,182,27,68,Bénéficiaires genre menages suivis dans LOC-SOINDE
GEN-023-ENTREPRENARIAT,PRJ-PUERG-GENRE-001,LOC-BORIRE,ENTREPRENEURS,135,189,36,71,Bénéficiaires genre entrepreneurs suivis dans LOC-BORIRE
GEN-024-SUIVI,PRJ-PERMT-LABE-001,LOC-MENYERE-LEY,FEMMES,140,196,45,74,Bénéficiaires genre femmes suivis dans LOC-MENYERE-LEY
GEN-025-INSTITUTIONNALISATION,PRJ-PERMT-MAMOU-001,LOC-GBEREAKHORY-CENTRE,JEUNES,145,203,54,7,Bénéficiaires genre jeunes suivis dans LOC-GBEREAKHORY-CENTRE
GEN-001-INSTITUTIONNALISATION,PRJ-PUERG-KINDIA-001,LOC-SECTEUR-HAFIA-I,INFRASTRUCTURES_COMMUNAUTAIRES,150,210,63,10,Bénéficiaires genre infrastructures_communautaires suivis dans LOC-SECTEUR-HAFIA-I
GEN-002-INTEGRATION,PRJ-PUERG-TELIMELE-001,LOC-SOINDE,GROUPE_VULNERABLE,155,217,72,13,Bénéficiaires genre groupe_vulnerable suivis dans LOC-SOINDE
GEN-003-SENSIBILISATION,PRJ-PUERG-GENRE-001,LOC-BORIRE,AUTRE,160,224,81,16,Bénéficiaires genre autre suivis dans LOC-BORIRE
GEN-004-RENFORCEMENT,PRJ-PERMT-LABE-001,LOC-FILIGBE,MENAGES,165,231,90,19,Bénéficiaires genre menages suivis dans LOC-FILIGBE
