programme_code,projet_code,zer_code,categorie_cout,montant_usd,annee,commentaire
PUERG,PRJ-PUERG-KINDIA-001,ZER-KINDIA,ETUDES,750000,2024,Prévision etudes pour PRJ-PUERG-KINDIA-001
PUERG,PRJ-PUERG-KINDIA-001,ZER-KINDIA,INFRASTRUCTURES,6000000,2024,Prévision infrastructures pour PRJ-PUERG-KINDIA-001
PUERG,PRJ-PUERG-KINDIA-001,ZER-KINDIA,EQUIPEMENTS,3500000,2025,Prévision equipements pour PRJ-PUERG-KINDIA-001
PUERG,PRJ-PUERG-KINDIA-001,ZER-KINDIA,RENFORCEMENT_CAPACITES,500000,2025,Prévision renforcement capacites pour PRJ-PUERG-KINDIA-001
PUERG,PRJ-PUERG-KINDIA-001,ZER-KINDIA,SIG,375000,2026,Prévision sig pour PRJ-PUERG-KINDIA-001
PUERG,PRJ-PUERG-KINDIA-001,ZER-KINDIA,SUIVI_EVALUATION,375000,2026,Prévision suivi evaluation pour PRJ-PUERG-KINDIA-001
PUERG,PRJ-PUERG-TELIMELE-001,ZER-KINDIA,ETUDES,510000,2024,Prévision etudes pour PRJ-PUERG-TELIMELE-001
PUERG,PRJ-PUERG-TELIMELE-001,ZER-KINDIA,INFRASTRUCTURES,4080000,2024,Prévision infrastructures pour PRJ-PUERG-TELIMELE-001
PUERG,PRJ-PUERG-TELIMELE-001,ZER-KINDIA,EQUIPEMENTS,2380000,2025,Prévision equipements pour PRJ-PUERG-TELIMELE-001
PUERG,PRJ-PUERG-TELIMELE-001,ZER-KINDIA,RENFORCEMENT_CAPACITES,340000,2025,Prévision renforcement capacites pour PRJ-PUERG-TELIMELE-001
PUERG,PRJ-PUERG-TELIMELE-001,ZER-KINDIA,SIG,255000,2026,Prévision sig pour PRJ-PUERG-TELIMELE-001
PUERG,PRJ-PUERG-TELIMELE-001,ZER-KINDIA,SUIVI_EVALUATION,255000,2026,Prévision suivi evaluation pour PRJ-PUERG-TELIMELE-001
PUERG,PRJ-PUERG-BOKE-001,ZER-BOKE,ETUDES,1110000,2025,Prévision etudes pour PRJ-PUERG-BOKE-001
PUERG,PRJ-PUERG-BOKE-001,ZER-BOKE,INFRASTRUCTURES,8880000,2025,Prévision infrastructures pour PRJ-PUERG-BOKE-001
PUERG,PRJ-PUERG-BOKE-001,ZER-BOKE,EQUIPEMENTS,5180000,2026,Prévision equipements pour PRJ-PUERG-BOKE-001
PUERG,PRJ-PUERG-BOKE-001,ZER-BOKE,RENFORCEMENT_CAPACITES,740000,2026,Prévision renforcement capacites pour PRJ-PUERG-BOKE-001
PUERG,PRJ-PUERG-BOKE-001,ZER-BOKE,SIG,555000,2027,Prévision sig pour PRJ-PUERG-BOKE-001
PUERG,PRJ-PUERG-BOKE-001,ZER-BOKE,SUIVI_EVALUATION,555000,2027,Prévision suivi evaluation pour PRJ-PUERG-BOKE-001
PUERG,PRJ-PUERG-KANKAN-001,ZER-KANKAN,ETUDES,870000,2025,Prévision etudes pour PRJ-PUERG-KANKAN-001
PUERG,PRJ-PUERG-KANKAN-001,ZER-KANKAN,INFRASTRUCTURES,6960000,2025,Prévision infrastructures pour PRJ-PUERG-KANKAN-001
PUERG,PRJ-PUERG-KANKAN-001,ZER-KANKAN,EQUIPEMENTS,4060000,2026,Prévision equipements pour PRJ-PUERG-KANKAN-001
PUERG,PRJ-PUERG-KANKAN-001,ZER-KANKAN,RENFORCEMENT_CAPACITES,580000,2026,Prévision renforcement capacites pour PRJ-PUERG-KANKAN-001
PUERG,PRJ-PUERG-KANKAN-001,ZER-KANKAN,SIG,435000,2027,Prévision sig pour PRJ-PUERG-KANKAN-001
PUERG,PRJ-PUERG-KANKAN-001,ZER-KANKAN,SUIVI_EVALUATION,435000,2027,Prévision suivi evaluation pour PRJ-PUERG-KANKAN-001
PERMT,PRJ-PERMT-LABE-001,ZER-LABE,ETUDES,1320000,2028,Prévision etudes pour PRJ-PERMT-LABE-001
PERMT,PRJ-PERMT-LABE-001,ZER-LABE,INFRASTRUCTURES,10560000,2028,Prévision infrastructures pour PRJ-PERMT-LABE-001
