reference_paiement,convention_code,projet_code,montant_usd,date_decaissement,objet,statut
DEC-01-01-PUERG-KINDIA-BM-001,CONV-PUERG-KINDIA-BM-001,PRJ-PUERG-KINDIA-001,624000,2024-03-28,Décaissement 1 convention CONV-PUERG-KINDIA-BM-001,EFFECTUE
DEC-01-02-PUERG-KINDIA-BM-001,CONV-PUERG-KINDIA-BM-001,PRJ-PUERG-KINDIA-001,884000,2025-07-28,Décaissement 2 convention CONV-PUERG-KINDIA-BM-001,PREVU
DEC-01-03-PUERG-KINDIA-BM-001,CONV-PUERG-KINDIA-BM-001,PRJ-PUERG-KINDIA-001,686400,2026-11-28,Décaissement 3 convention CONV-PUERG-KINDIA-BM-001,REJETE
DEC-02-01-PUERG-KINDIA-ETAT-001,CONV-PUERG-KINDIA-ETAT-001,PRJ-PUERG-KINDIA-001,312000,2025-03-28,Décaissement 1 convention CONV-PUERG-KINDIA-ETAT-001,PREVU
DEC-02-02-PUERG-KINDIA-ETAT-001,CONV-PUERG-KINDIA-ETAT-001,PRJ-PUERG-KINDIA-001,265200,2026-07-28,Décaissement 2 convention CONV-PUERG-KINDIA-ETAT-001,REJETE
DEC-02-03-PUERG-KINDIA-ETAT-001,CONV-PUERG-KINDIA-ETAT-001,PRJ-PUERG-KINDIA-001,228800,2027-11-28,Décaissement 3 convention CONV-PUERG-KINDIA-ETAT-001,ANNULE
DEC-03-01-PUERG-TELIMELE-UE-001,CONV-PUERG-TELIMELE-UE-001,PRJ-PUERG-TELIMELE-001,230400,2026-03-28,Décaissement 1 convention CONV-PUERG-TELIMELE-UE-001,REJETE
DEC-03-02-PUERG-TELIMELE-UE-001,CONV-PUERG-TELIMELE-UE-001,PRJ-PUERG-TELIMELE-001,217600,2027-07-28,Décaissement 2 convention CONV-PUERG-TELIMELE-UE-001,ANNULE
DEC-03-03-PUERG-TELIMELE-UE-001,CONV-PUERG-TELIMELE-UE-001,PRJ-PUERG-TELIMELE-001,704000,2024-11-28,Décaissement 3 convention CONV-PUERG-TELIMELE-UE-001,EFFECTUE
DEC-04-01-PUERG-TELIMELE-USAID-001,CONV-PUERG-TELIMELE-USAID-001,PRJ-PUERG-TELIMELE-001,67200,2027-03-28,Décaissement 1 convention CONV-PUERG-TELIMELE-USAID-001,ANNULE
DEC-04-02-PUERG-TELIMELE-USAID-001,CONV-PUERG-TELIMELE-USAID-001,PRJ-PUERG-TELIMELE-001,238000,2024-07-28,Décaissement 2 convention CONV-PUERG-TELIMELE-USAID-001,EFFECTUE
DEC-04-03-PUERG-TELIMELE-USAID-001,CONV-PUERG-TELIMELE-USAID-001,PRJ-PUERG-TELIMELE-001,308000,2025-11-28,Décaissement 3 convention CONV-PUERG-TELIMELE-USAID-001,EFFECTUE
DEC-05-01-PUERG-BOKE-AFD-001,CONV-PUERG-BOKE-AFD-001,PRJ-PUERG-BOKE-001,1080000,2024-03-28,Décaissement 1 convention CONV-PUERG-BOKE-AFD-001,EFFECTUE
DEC-05-02-PUERG-BOKE-AFD-001,CONV-PUERG-BOKE-AFD-001,PRJ-PUERG-BOKE-001,1530000,2025-07-28,Décaissement 2 convention CONV-PUERG-BOKE-AFD-001,EFFECTUE
DEC-05-03-PUERG-BOKE-AFD-001,CONV-PUERG-BOKE-AFD-001,PRJ-PUERG-BOKE-001,1980000,2026-11-28,Décaissement 3 convention CONV-PUERG-BOKE-AFD-001,PREVU
DEC-06-01-PUERG-BOKE-ETAT-001,CONV-PUERG-BOKE-ETAT-001,PRJ-PUERG-BOKE-001,600000,2025-03-28,Décaissement 1 convention CONV-PUERG-BOKE-ETAT-001,EFFECTUE
DEC-06-02-PUERG-BOKE-ETAT-001,CONV-PUERG-BOKE-ETAT-001,PRJ-PUERG-BOKE-001,850000,2026-07-28,Décaissement 2 convention CONV-PUERG-BOKE-ETAT-001,PREVU
DEC-06-03-PUERG-BOKE-ETAT-001,CONV-PUERG-BOKE-ETAT-001,PRJ-PUERG-BOKE-001,660000,2027-11-28,Décaissement 3 convention CONV-PUERG-BOKE-ETAT-001,REJETE
DEC-07-01-PUERG-KANKAN-BAD-001,CONV-PUERG-KANKAN-BAD-001,PRJ-PUERG-KANKAN-001,864000,2026-03-28,Décaissement 1 convention CONV-PUERG-KANKAN-BAD-001,PREVU
DEC-07-02-PUERG-KANKAN-BAD-001,CONV-PUERG-KANKAN-BAD-001,PRJ-PUERG-KANKAN-001,734400,2027-07-28,Décaissement 2 convention CONV-PUERG-KANKAN-BAD-001,REJETE
DEC-07-03-PUERG-KANKAN-BAD-001,CONV-PUERG-KANKAN-BAD-001,PRJ-PUERG-KANKAN-001,633600,2024-11-28,Décaissement 3 convention CONV-PUERG-KANKAN-BAD-001,ANNULE
DEC-08-01-PUERG-KANKAN-GIZ-001,CONV-PUERG-KANKAN-GIZ-001,PRJ-PUERG-KANKAN-001,64800,2027-03-28,Décaissement 1 convention CONV-PUERG-KANKAN-GIZ-001,REJETE
DEC-08-02-PUERG-KANKAN-GIZ-001,CONV-PUERG-KANKAN-GIZ-001,PRJ-PUERG-KANKAN-001,61200,2024-07-28,Décaissement 2 convention CONV-PUERG-KANKAN-GIZ-001,ANNULE
DEC-08-03-PUERG-KANKAN-GIZ-001,CONV-PUERG-KANKAN-GIZ-001,PRJ-PUERG-KANKAN-001,198000,2025-11-28,Décaissement 3 convention CONV-PUERG-KANKAN-GIZ-001,EFFECTUE
DEC-09-01-PERMT-LABE-BOAD-001,CONV-PERMT-LABE-BOAD-001,PRJ-PERMT-LABE-001,528000,2024-03-28,Décaissement 1 convention CONV-PERMT-LABE-BOAD-001,ANNULE
DEC-09-02-PERMT-LABE-BOAD-001,CONV-PERMT-LABE-BOAD-001,PRJ-PERMT-LABE-001,1870000,2025-07-28,Décaissement 2 convention CONV-PERMT-LABE-BOAD-001,EFFECTUE
DEC-09-03-PERMT-LABE-BOAD-001,CONV-PERMT-LABE-BOAD-001,PRJ-PERMT-LABE-001,2420000,2026-11-28,Décaissement 3 convention CONV-PERMT-LABE-BOAD-001,EFFECTUE
DEC-10-01-PERMT-LABE-FVC-001,CONV-PERMT-LABE-FVC-001,PRJ-PERMT-LABE-001,780000,2025-03-28,Décaissement 1 convention CONV-PERMT-LABE-FVC-001,EFFECTUE
DEC-10-02-PERMT-LABE-FVC-001,CONV-PERMT-LABE-FVC-001,PRJ-PERMT-LABE-001,1105000,2026-07-28,Décaissement 2 convention CONV-PERMT-LABE-FVC-001,EFFECTUE
DEC-10-03-PERMT-LABE-FVC-001,CONV-PERMT-LABE-FVC-001,PRJ-PERMT-LABE-001,1430000,2027-11-28,Décaissement 3 convention CONV-PERMT-LABE-FVC-001,PREVU
DEC-11-01-PERMT-MAMOU-FVC-001,CONV-PERMT-MAMOU-FVC-001,PRJ-PERMT-MAMOU-001,1440000,2026-03-28,Décaissement 1 convention CONV-PERMT-MAMOU-FVC-001,EFFECTUE
DEC-11-02-PERMT-MAMOU-FVC-001,CONV-PERMT-MAMOU-FVC-001,PRJ-PERMT-MAMOU-001,2040000,2027-07-28,Décaissement 2 convention CONV-PERMT-MAMOU-FVC-001,PREVU
DEC-11-03-PERMT-MAMOU-FVC-001,CONV-PERMT-MAMOU-FVC-001,PRJ-PERMT-MAMOU-001,1584000,2024-11-28,Décaissement 3 convention CONV-PERMT-MAMOU-FVC-001,REJETE
DEC-12-01-PERMT-MAMOU-PRIVE-001,CONV-PERMT-MAMOU-PRIVE-001,PRJ-PERMT-MAMOU-001,840000,2027-03-28,Décaissement 1 convention CONV-PERMT-MAMOU-PRIVE-001,PREVU
DEC-12-02-PERMT-MAMOU-PRIVE-001,CONV-PERMT-MAMOU-PRIVE-001,PRJ-PERMT-MAMOU-001,714000,2024-07-28,Décaissement 2 convention CONV-PERMT-MAMOU-PRIVE-001,REJETE
DEC-12-03-PERMT-MAMOU-PRIVE-001,CONV-PERMT-MAMOU-PRIVE-001,PRJ-PERMT-MAMOU-001,616000,2025-11-28,Décaissement 3 convention CONV-PERMT-MAMOU-PRIVE-001,ANNULE
DEC-13-01-PERMT-FARANAH-BID-001,CONV-PERMT-FARANAH-BID-001,PRJ-PERMT-FARANAH-001,1224000,2024-03-28,Décaissement 1 convention CONV-PERMT-FARANAH-BID-001,REJETE
DEC-13-02-PERMT-FARANAH-BID-001,CONV-PERMT-FARANAH-BID-001,PRJ-PERMT-FARANAH-001,1156000,2025-07-28,Décaissement 2 convention CONV-PERMT-FARANAH-BID-001,ANNULE
DEC-13-03-PERMT-FARANAH-BID-001,CONV-PERMT-FARANAH-BID-001,PRJ-PERMT-FARANAH-001,3740000,2026-11-28,Décaissement 3 convention CONV-PERMT-FARANAH-BID-001,EFFECTUE
DEC-14-01-PFAUER-NZEREKORE-BAD-001,CONV-PFAUER-NZEREKORE-BAD-001,PRJ-PFAUER-NZEREKORE-001,864000,2025-03-28,Décaissement 1 convention CONV-PFAUER-NZEREKORE-BAD-001,ANNULE
DEC-14-02-PFAUER-NZEREKORE-BAD-001,CONV-PFAUER-NZEREKORE-BAD-001,PRJ-PFAUER-NZEREKORE-001,3060000,2026-07-28,Décaissement 2 convention CONV-PFAUER-NZEREKORE-BAD-001,EFFECTUE
DEC-14-03-PFAUER-NZEREKORE-BAD-001,CONV-PFAUER-NZEREKORE-BAD-001,PRJ-PFAUER-NZEREKORE-001,3960000,2027-11-28,Décaissement 3 convention CONV-PFAUER-NZEREKORE-BAD-001,EFFECTUE
DEC-15-01-PFAUER-KINDIA-AFD-001,CONV-PFAUER-KINDIA-AFD-001,PRJ-PFAUER-KINDIA-002,1140000,2026-03-28,Décaissement 1 convention CONV-PFAUER-KINDIA-AFD-001,EFFECTUE
DEC-15-02-PFAUER-KINDIA-AFD-001,CONV-PFAUER-KINDIA-AFD-001,PRJ-PFAUER-KINDIA-002,1615000,2027-07-28,Décaissement 2 convention CONV-PFAUER-KINDIA-AFD-001,EFFECTUE
DEC-15-03-PFAUER-KINDIA-AFD-001,CONV-PFAUER-KINDIA-AFD-001,PRJ-PFAUER-KINDIA-002,2090000,2024-11-28,Décaissement 3 convention CONV-PFAUER-KINDIA-AFD-001,PREVU
DEC-16-01-PUERG-GENRE-PNUD-001,CONV-PUERG-GENRE-PNUD-001,PRJ-PUERG-GENRE-001,216000,2027-03-28,Décaissement 1 convention CONV-PUERG-GENRE-PNUD-001,EFFECTUE
