localite_code,superficie_km2,population_reference,menages_reference,densite_population,observations
LOC-KOUROUSSA-001,33.72,1450,240,43.0,Donnée géospatiale PNER 2040 pour Kouroussa Centre
LOC-SOUGUETA-001,21.96,1120,185,51.0,Donnée géospatiale PNER 2040 pour Koliady
LOC-MINAYA,0.8,40,8,50.0,Donnée géospatiale PNER 2040 pour MINAYA
LOC-MORGBEYA,0.8,27,3,33.75,Donnée géospatiale PNER 2040 pour MORGBEYA
LOC-TATA-SAMBAYA,0.8,32,4,40.0,Donnée géospatiale PNER 2040 pour TATA-SAMBAYA
LOC-TONGBEDY,1.6,133,23,83.12,Donnée géospatiale PNER 2040 pour TONGBEDY
LOC-WALANDY,2.01,183,29,91.04,Donnée géospatiale PNER 2040 pour WALANDY
LOC-FILIGBE,5.34,529,98,99.06,Donnée géospatiale PNER 2040 pour FILIGBE
LOC-FOULAYAH-CITE-CENTRE,8.49,297,46,34.98,Donnée géospatiale PNER 2040 pour FOULAYAH-CITE-CENTRE
LOC-MEYENYI,6.49,279,38,42.99,Donnée géospatiale PNER 2040 pour MEYENYI
LOC-BORA,2.12,108,9,50.94,Donnée géospatiale PNER 2040 pour BORA
LOC-FENTEKHOURE,0.8,36,6,45.0,Donnée géospatiale PNER 2040 pour FENTEKHOURE
LOC-GBEREAKHORY-CENTRE,11.84,793,108,66.98,Donnée géospatiale PNER 2040 pour GBEREAKHORY-CENTRE
LOC-KANTY,0.8,41,4,51.25,Donnée géospatiale PNER 2040 pour KANTY
LOC-KONDEKHOURE,1.25,104,12,83.2,Donnée géospatiale PNER 2040 pour KONDEKHOURE
LOC-MALEYA,3.37,307,36,91.1,Donnée géospatiale PNER 2040 pour MALEYA
LOC-DIALLOYA,0.8,12,2,15.0,Donnée géospatiale PNER 2040 pour DIALLOYA
LOC-GOLEAH,17.11,599,76,35.01,Donnée géospatiale PNER 2040 pour GOLEAH
LOC-LONKHONDE,2.53,109,18,43.08,Donnée géospatiale PNER 2040 pour LONKHONDE
LOC-BORIRE,0.8,21,5,26.25,Donnée géospatiale PNER 2040 pour BORIRE
LOC-DOGHOL-MOULOL,0.8,36,8,45.0,Donnée géospatiale PNER 2040 pour DOGHOL-MOULOL
LOC-HOUNSIRE,1.45,97,18,66.9,Donnée géospatiale PNER 2040 pour HOUNSIRE
LOC-KANKALIBA,0.8,14,3,17.5,Donnée géospatiale PNER 2040 pour KANKALIBA
LOC-LEY-GOUNGA,1.6,133,16,83.12,Donnée géospatiale PNER 2040 pour LEY-GOUNGA
LOC-MADY,0.8,40,7,50.0,Donnée géospatiale PNER 2040 pour MADY
LOC-MBOWOY,0.8,42,8,52.5,Donnée géospatiale PNER 2040 pour MBOWOY
LOC-NYALLE,3.43,120,16,34.99,Donnée géospatiale PNER 2040 pour NYALLE
LOC-SOUDOUDYOUN,1.67,72,10,43.11,Donnée géospatiale PNER 2040 pour SOUDOUDYOUN
LOC-BOSSERE-HAKKOUNDE,3.61,184,29,50.97,Donnée géospatiale PNER 2040 pour BOSSERE-HAKKOUNDE
LOC-NIBO,1.76,104,20,59.09,Donnée géospatiale PNER 2040 pour NIBO
LOC-SAMANKOU,0.94,63,10,67.02,Donnée géospatiale PNER 2040 pour SAMANKOU
LOC-TELIBOFI,0.8,11,2,13.75,Donnée géospatiale PNER 2040 pour TELIBOFI
LOC-TYALEKINDE-II,5.04,418,60,82.94,Donnée géospatiale PNER 2040 pour TYALEKINDE II
LOC-KOLLY,11.71,1066,158,91.03,Donnée géospatiale PNER 2040 pour KOLLY
LOC-SECTEUR-BARKERE,9.01,892,132,99.0,Donnée géospatiale PNER 2040 pour SECTEUR BARKERE
LOC-HORE-SADIO,4.34,152,33,35.02,Donnée géospatiale PNER 2040 pour HORE-SADIO
LOC-GOULGOUL-MISSIDE,6.51,280,49,43.01,Donnée géospatiale PNER 2040 pour GOULGOUL-MISSIDE
LOC-MENYERE-LEY,7.57,386,71,50.99,Donnée géospatiale PNER 2040 pour MENYERE LEY
LOC-SECTEUR-HAFIA-I,24.47,1444,275,59.01,Donnée géospatiale PNER 2040 pour SECTEUR HAFIA I
LOC-MISSIDE-MAWDE,1.19,80,19,67.23,Donnée géospatiale PNER 2040 pour MISSIDE-MAWDE
LOC-SOINDE,6.65,499,70,75.04,Donnée géospatiale PNER 2040 pour SOINDE
LOC-BOULERE,0.8,56,9,70.0,Donnée géospatiale PNER 2040 pour BOULERE
LOC-SOULOUDJI,2.04,186,38,91.18,Donnée géospatiale PNER 2040 pour SOULOUDJI
LOC-PELLOUN-BALBHE,0.8,45,8,56.25,Donnée géospatiale PNER 2040 pour PELLOUN BALBHE
LOC-BANTANHI,0.8,24,5,30.0,Donnée géospatiale PNER 2040 pour BANTANHI
