code,intitule,action_code,zer_code,localite_code,date_formation,nombre_participants,nombre_femmes,nombre_hommes,theme,formateur,commentaire
FORM-GEN-001,Formation maintenance solaire - session 01,GEN-001-INSTITUTIONNALISATION,ZER-KINDIA,LOC-FILIGBE,2024-01-15,24,10,14,maintenance solaire,AGER,Session de formation sur maintenance solaire
FORM-GEN-002,Formation gestion mini-réseau - session 02,GEN-002-INTEGRATION,ZER-KINDIA,LOC-GBEREAKHORY-CENTRE,2025-02-15,28,14,14,gestion mini-réseau,GIZ,Session de formation sur gestion mini-réseau
FORM-GEN-003,Formation entrepreneuriat féminin - session 03,GEN-003-SENSIBILISATION,ZER-KINDIA,LOC-GOLEAH,2026-03-15,32,19,13,entrepreneuriat féminin,ONG locale,Session de formation sur entrepreneuriat féminin
FORM-GEN-004,Formation suivi-évaluation genre - session 04,GEN-004-RENFORCEMENT,ZER-LABE,LOC-SECTEUR-HAFIA-I,2027-04-15,36,24,12,suivi-évaluation genre,Centre de formation énergie,Session de formation sur suivi-évaluation genre
FORM-GEN-005,Formation usage productif de l’énergie - session 05,GEN-005-ENTREPRENARIAT,ZER-MAMOU,LOC-KOLLY,2024-05-15,40,18,22,usage productif de l’énergie,Cellule Genre PNER,Session de formation sur usage productif de l’énergie
FORM-GEN-006,Formation sécurité électrique - session 06,GEN-006-SUIVI,ZER-KINDIA,LOC-SOINDE,2025-06-15,44,23,21,sécurité électrique,AGER,Session de formation sur sécurité électrique
FORM-GEN-007,Formation maintenance solaire - session 07,GEN-007-INSTITUTIONNALISATION,ZER-KINDIA,LOC-MALEYA,2026-07-15,48,29,19,maintenance solaire,GIZ,Session de formation sur maintenance solaire
FORM-GEN-008,Formation gestion mini-réseau - session 08,GEN-008-INTEGRATION,ZER-KINDIA,LOC-BORIRE,2027-08-15,52,35,17,gestion mini-réseau,ONG locale,Session de formation sur gestion mini-réseau
FORM-GEN-009,Formation entrepreneuriat féminin - session 09,GEN-009-SENSIBILISATION,ZER-LABE,LOC-HOUNSIRE,2024-09-15,56,25,31,entrepreneuriat féminin,Centre de formation énergie,Session de formation sur entrepreneuriat féminin
FORM-GEN-010,Formation suivi-évaluation genre - session 10,GEN-010-RENFORCEMENT,ZER-MAMOU,LOC-MENYERE-LEY,2025-10-15,60,31,29,suivi-évaluation genre,Cellule Genre PNER,Session de formation sur suivi-évaluation genre
FORM-GEN-011,Formation usage productif de l’énergie - session 11,GEN-011-ENTREPRENARIAT,ZER-KINDIA,LOC-FILIGBE,2026-11-15,64,39,25,usage productif de l’énergie,AGER,Session de formation sur usage productif de l’énergie
FORM-GEN-012,Formation sécurité électrique - session 12,GEN-012-SUIVI,ZER-KINDIA,LOC-GBEREAKHORY-CENTRE,2027-12-15,68,46,22,sécurité électrique,GIZ,Session de formation sur sécurité électrique
FORM-GEN-013,Formation maintenance solaire - session 13,GEN-013-INSTITUTIONNALISATION,ZER-KINDIA,LOC-GOLEAH,2024-01-15,72,32,40,maintenance solaire,ONG locale,Session de formation sur maintenance solaire
FORM-GEN-014,Formation gestion mini-réseau - session 14,GEN-014-INTEGRATION,ZER-LABE,LOC-SECTEUR-HAFIA-I,2025-02-15,76,40,36,gestion mini-réseau,Centre de formation énergie,Session de formation sur gestion mini-réseau
FORM-GEN-015,Formation entrepreneuriat féminin - session 15,GEN-015-SENSIBILISATION,ZER-MAMOU,LOC-KOLLY,2026-03-15,80,48,32,entrepreneuriat féminin,Cellule Genre PNER,Session de formation sur entrepreneuriat féminin
FORM-GEN-016,Formation suivi-évaluation genre - session 16,GEN-016-RENFORCEMENT,ZER-KINDIA,LOC-SOINDE,2027-04-15,84,57,27,suivi-évaluation genre,AGER,Session de formation sur suivi-évaluation genre
FORM-GEN-017,Formation usage productif de l’énergie - session 17,GEN-017-ENTREPRENARIAT,ZER-KINDIA,LOC-MALEYA,2024-05-15,88,39,49,usage productif de l’énergie,GIZ,Session de formation sur usage productif de l’énergie
FORM-GEN-018,Formation sécurité électrique - session 18,GEN-018-SUIVI,ZER-KINDIA,LOC-BORIRE,2025-06-15,92,48,44,sécurité électrique,ONG locale,Session de formation sur sécurité électrique
FORM-GEN-019,Formation maintenance solaire - session 19,GEN-019-INSTITUTIONNALISATION,ZER-LABE,LOC-HOUNSIRE,2026-07-15,96,58,38,maintenance solaire,Centre de formation énergie,Session de formation sur maintenance solaire
FORM-GEN-020,Formation gestion mini-réseau - session 20,GEN-020-INTEGRATION,ZER-MAMOU,LOC-MENYERE-LEY,2027-08-15,100,69,31,gestion mini-réseau,Cellule Genre PNER,Session de formation sur gestion mini-réseau
FORM-GEN-021,Formation entrepreneuriat féminin - session 21,GEN-021-SENSIBILISATION,ZER-KINDIA,LOC-FILIGBE,2024-09-15,24,10,14,entrepreneuriat féminin,AGER,Session de formation sur entrepreneuriat féminin
FORM-GEN-022,Formation suivi-évaluation genre - session 22,GEN-022-RENFORCEMENT,ZER-KINDIA,LOC-GBEREAKHORY-CENTRE,2025-10-15,28,14,14,suivi-évaluation genre,GIZ,Session de formation sur suivi-évaluation genre
FORM-GEN-023,Formation usage productif de l’énergie - session 23,GEN-023-ENTREPRENARIAT,ZER-KINDIA,LOC-GOLEAH,2026-11-15,32,19,13,usage productif de l’énergie,ONG locale,Session de formation sur usage productif de l’énergie
FORM-GEN-024,Formation sécurité électrique - session 24,GEN-024-SUIVI,ZER-LABE,LOC-SECTEUR-HAFIA-I,2027-12-15,36,24,12,sécurité électrique,Centre de formation énergie,Session de formation sur sécurité électrique
FORM-GEN-025,Formation maintenance solaire - session 25,GEN-025-INSTITUTIONNALISATION,ZER-MAMOU,LOC-KOLLY,2024-01-15,40,18,22,maintenance solaire,Cellule Genre PNER,Session de formation sur maintenance solaire
FORM-GEN-026,Formation gestion mini-réseau - session 26,GEN-001-INSTITUTIONNALISATION,ZER-KINDIA,LOC-SOINDE,2025-02-15,44,23,21,gestion mini-réseau,AGER,Session de formation sur gestion mini-réseau
FORM-GEN-027,Formation entrepreneuriat féminin - session 27,GEN-002-INTEGRATION,ZER-KINDIA,LOC-MALEYA,2026-03-15,48,29,19,entrepreneuriat féminin,GIZ,Session de formation sur entrepreneuriat féminin
FORM-GEN-028,Formation suivi-évaluation genre - session 28,GEN-003-SENSIBILISATION,ZER-KINDIA,LOC-BORIRE,2027-04-15,52,35,17,suivi-évaluation genre,ONG locale,Session de formation sur suivi-évaluation genre
FORM-GEN-029,Formation usage productif de l’énergie - session 29,GEN-004-RENFORCEMENT,ZER-LABE,LOC-HOUNSIRE,2024-05-15,56,25,31,usage productif de l’énergie,Centre de formation énergie,Session de formation sur usage productif de l’énergie
FORM-GEN-030,Formation sécurité électrique - session 30,GEN-005-ENTREPRENARIAT,ZER-MAMOU,LOC-MENYERE-LEY,2025-06-15,60,31,29,sécurité électrique,Cellule Genre PNER,Session de formation sur sécurité électrique
