code,nom,longitude,latitude,nombre_menages,population_totale,categorie_population,statut_electrification,distance_reseau_km,zer_code,prefecture_code,sous_prefecture_code,programme_code,systeme_code
LOC-KOUROUSSA-001,Kouroussa Centre,-9.8833,10.65,240,1450,PLUS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KANKAN,PREF-KANKAN,SP-KOUROUSSA,PUERG,EXT-30KV
LOC-SOUGUETA-001,Koliady,-13.0167,9.7533,185,1120,PLUS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-SOUGUETA,PERMT,PV-CENTRALISE
LOC-MINAYA,MINAYA,-12.91836,10.00594,8,40,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-DECENTRALISE
LOC-MORGBEYA,MORGBEYA,-12.88389,10.01723,3,27,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-DECENTRALISE
LOC-TATA-SAMBAYA,TATA-SAMBAYA,-12.91988,10.02434,4,32,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-DECENTRALISE
LOC-TONGBEDY,TONGBEDY,-12.88051,10.02058,23,133,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-DECENTRALISE
LOC-WALANDY,WALANDY,-12.87266,10.00538,29,183,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-DECENTRALISE
LOC-FILIGBE,FILIGBE,-12.90637,9.99744,98,529,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-CENTRALISE
LOC-FOULAYAH-CITE-CENTRE,FOULAYAH-CITE-CENTRE,-12.91103,9.99629,46,297,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-CENTRALISE
LOC-MEYENYI,MEYENYI,-12.93321,10.00231,38,279,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-CENTRALISE
LOC-BORA,BORA,-12.97034,10.03543,9,108,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-DECENTRALISE
LOC-FENTEKHOURE,FENTEKHOURE,-12.94515,10.03433,6,36,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-DECENTRALISE
LOC-GBEREAKHORY-CENTRE,GBEREAKHORY-CENTRE,-12.94971,10.05051,108,793,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-MT-30KV
LOC-KANTY,KANTY,-12.93245,10.05484,4,41,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-DECENTRALISE
LOC-KONDEKHOURE,KONDEKHOURE,-12.93647,10.03236,12,104,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-DECENTRALISE
