point_code,latitude,longitude,altitude,precision_gps,source
GPS-LOC-KOUROUSSA-001,10.65,-9.8833,320,10,PNER 2040
GPS-LOC-SOUGUETA-001,9.7533,-13.0167,273,10,PNER 2040
GPS-LOC-MINAYA,10.00594,-12.91836,286,10,PNER 2040
GPS-LOC-MORGBEYA,10.01723,-12.88389,299,10,PNER 2040
GPS-LOC-TATA-SAMBAYA,10.02434,-12.91988,312,10,PNER 2040
GPS-LOC-TONGBEDY,10.02058,-12.88051,325,10,PNER 2040
GPS-LOC-WALANDY,10.00538,-12.87266,338,10,PNER 2040
GPS-LOC-FILIGBE,9.99744,-12.90637,351,10,PNER 2040
GPS-LOC-FOULAYAH-CITE-CENTRE,9.99629,-12.91103,364,10,PNER 2040
GPS-LOC-MEYENYI,10.00231,-12.93321,377,10,PNER 2040
GPS-LOC-BORA,10.03543,-12.97034,390,10,PNER 2040
GPS-LOC-FENTEKHOURE,10.03433,-12.94515,403,10,PNER 2040
GPS-LOC-GBEREAKHORY-CENTRE,10.05051,-12.94971,416,10,PNER 2040
GPS-LOC-KANTY,10.05484,-12.93245,429,10,PNER 2040
GPS-LOC-KONDEKHOURE,10.03236,-12.93647,442,10,PNER 2040
GPS-LOC-MALEYA,10.03299,-12.98223,455,10,PNER 2040
GPS-LOC-DIALLOYA,10.00825,-12.85957,468,10,PNER 2040
GPS-LOC-GOLEAH,9.97537,-12.84319,481,10,PNER 2040
GPS-LOC-LONKHONDE,9.977,-12.83657,494,10,PNER 2040
GPS-LOC-BORIRE,10.96468,-12.99944,463,10,PNER 2040
GPS-LOC-DOGHOL-MOULOL,10.97301,-12.99399,480,10,PNER 2040
GPS-LOC-HOUNSIRE,10.96666,-12.99338,497,10,PNER 2040
GPS-LOC-KANKALIBA,10.95992,-12.99338,514,10,PNER 2040
GPS-LOC-LEY-GOUNGA,10.96468,-12.98853,531,10,PNER 2040
GPS-LOC-MADY,10.96745,-12.98207,548,10,PNER 2040
GPS-LOC-MBOWOY,10.974,-12.98187,565,10,PNER 2040
GPS-LOC-NYALLE,10.96389,-13.00832,362,10,PNER 2040
GPS-LOC-SOUDOUDYOUN,10.95972,-13.00186,379,10,PNER 2040
GPS-LOC-BOSSERE-HAKKOUNDE,10.95605,-13.02488,396,10,PNER 2040
GPS-LOC-NIBO,10.94732,-13.02912,413,10,PNER 2040
GPS-LOC-SAMANKOU,10.96279,-13.03881,430,10,PNER 2040
GPS-LOC-TELIBOFI,10.96497,-13.03215,447,10,PNER 2040
GPS-LOC-TYALEKINDE-II,10.96893,-13.02892,464,10,PNER 2040
GPS-LOC-KOLLY,10.91555,-13.03292,481,10,PNER 2040
GPS-LOC-SECTEUR-BARKERE,10.91273,-13.03816,498,10,PNER 2040
GPS-LOC-HORE-SADIO,10.91449,-12.98402,515,10,PNER 2040
GPS-LOC-GOULGOUL-MISSIDE,10.88893,-13.0535,532,10,PNER 2040
GPS-LOC-MENYERE-LEY,10.91495,-13.02564,549,10,PNER 2040
GPS-LOC-SECTEUR-HAFIA-I,10.90959,-13.03231,566,10,PNER 2040
GPS-LOC-MISSIDE-MAWDE,10.90332,-13.00754,363,10,PNER 2040
GPS-LOC-SOINDE,10.88821,-12.99974,380,10,PNER 2040
GPS-LOC-BOULERE,10.95245,-13.04836,397,10,PNER 2040
GPS-LOC-SOULOUDJI,10.92306,-13.05981,414,10,PNER 2040
GPS-LOC-PELLOUN-BALBHE,10.935326,-12.975184,431,10,PNER 2040
GPS-LOC-BANTANHI,10.886132,-13.046743,448,10,PNER 2040
GPS-KOUROUSSA-001,10.65,-9.8833,375,5,Collecte terrain PNER
GPS-SOUGUETA-001,9.7533,-13.0167,210,5,Collecte terrain PNER
