code,intitule,description,programme_code,zer_code,systeme_code,statut,date_debut_prevue,date_fin_prevue,date_debut_effective,date_fin_effective,montant_previsionnel_usd,montant_mobilise_usd,source_financement,maitre_ouvrage,partenaire_technique
PRJ-PUERG-KINDIA-001,Électrification rurale prioritaire de Kindia,Déploiement prioritaire de mini-réseaux solaires centralisés pour les localités rurales de Kindia identifiées dans le PNER 2040.,PUERG,ZER-KINDIA,SYS-PV-CENTRALISE,EN_COURS,2024-01-15,2027-12-31,2024-03-01,,12500000,7800000,Budget État et partenaires techniques,AGER,Unité de coordination PUERG
PRJ-PUERG-TELIMELE-001,Électrification solaire des localités rurales de Télimélé,Équipement de localités dispersées de Télimélé par systèmes solaires PV décentralisés et services énergétiques de base.,PUERG,ZER-KINDIA,SYS-PV-DECENTRALISE,EN_PREPARATION,2024-07-01,2027-06-30,,,8500000,3200000,PUERG et PTF,AGER,Direction régionale énergie Kindia
PRJ-PUERG-BOKE-001,Extension réseau MT 30 kV dans la ZER de Boké,Extension du réseau moyenne tension 30 kV pour raccorder les localités rurales proches du réseau existant dans la ZER de Boké.,PUERG,ZER-BOKE,SYS-MT-30KV,PLANIFIE,2025-01-01,2027-12-31,,,18500000,5000000,Budget État,AGER,EDG
PRJ-PUERG-KANKAN-001,Mini-réseaux solaires communautaires de Kankan,Installation de mini-réseaux solaires communautaires dans les localités rurales prioritaires de la ZER de Kankan.,PUERG,ZER-KANKAN,SYS-PV-CENTRALISE,EN_PREPARATION,2025-03-01,2027-12-31,,,14500000,4200000,PUERG et bailleurs,AGER,Unité de coordination PUERG
PRJ-PERMT-LABE-001,Programme solaire rural de Labé,Déploiement progressif de solutions solaires décentralisées pour les localités rurales de Labé sur la période PERMT.,PERMT,ZER-LABE,SYS-PV-DECENTRALISE,PLANIFIE,2028-01-01,2033-12-31,,,22000000,0,À mobiliser,AGER,Programme PERMT
PRJ-PERMT-MAMOU-001,Hybridation PV/Hydro pour localités de Mamou,Projet d’hybridation solaire PV et hydroélectricité pour sécuriser l’approvisionnement des localités rurales de Mamou.,PERMT,ZER-MAMOU,SYS-HYBRIDE-PV-HYDRO,PLANIFIE,2028-06-01,2033-12-31,,,28000000,0,À mobiliser,AGER,Programme PERMT
PRJ-PERMT-FARANAH-001,Valorisation hydroélectrique rurale de Faranah,Valorisation du potentiel hydroélectrique rural de Faranah avec des petites centrales et réseaux associés.,PERMT,ZER-FARANAH,SYS-PETITE-HYDRO,PLANIFIE,2028-01-01,2032-12-31,,,34000000,0,À mobiliser,AGER,Programme PERMT
PRJ-PFAUER-NZEREKORE-001,Accès universel rural dans la ZER de Nzérékoré,Accélération de l’accès universel à l’électricité rurale dans la ZER de Nzérékoré avec des mini-réseaux solaires.,PFAUER,ZER-NZEREKORE,SYS-PV-CENTRALISE,PLANIFIE,2034-01-01,2040-12-31,,,42000000,0,À mobiliser,AGER,Programme PFAUER
PRJ-PFAUER-KINDIA-002,Densification des localités rurales raccordables de Kindia,Densification du réseau et raccordement des localités rurales raccordables autour de Kindia dans la phase PFAUER.,PFAUER,ZER-KINDIA,SYS-MT-30KV,PLANIFIE,2034-01-01,2038-12-31,,,16000000,0,À mobiliser,AGER,EDG
PRJ-PUERG-GENRE-001,Projet pilote énergie productive et inclusion genre,"Projet pilote intégrant accès à l’énergie productive, autonomisation économique des femmes et inclusion des jeunes dans les localités rurales.",PUERG,ZER-KINDIA,SYS-PV-CENTRALISE,EN_COURS,2024-04-01,2026-12-31,2024-05-15,,4500000,3100000,PUERG genre et inclusion,AGER,Cellule genre PNER
PRJ-PUERG-KKN-001,Électrification rurale prioritaire Kankan,Projet pilote PNER pour localités raccordables de Kankan conservé pour les démonstrations.,PUERG,ZER-KANKAN,EXT-30KV,EN_PREPARATION,2024-01-01,2027-12-31,,,8500000,2500000,Budget Etat et PTF,AGER,Partenaire technique demo
PRJ-PERMT-KDA-001,Mini-réseaux solaires Kindia,Projet solaire PV pour localités isolées conservé pour les démonstrations.,PERMT,ZER-KINDIA,PV-CENTRALISE,PLANIFIE,2028-01-01,2030-12-31,,,6200000,,PTF,AGER,Partenaire solaire demo
