indicateur_code,programme_code,zer_code,projet_code,localite_code,periode,annee,valeur,commentaire
IND-LOCALITES-TOTAL,PUERG,ZER-KINDIA,,,ANNUEL,2024,45,Localités couvertes dans la ZER Kindia
IND-LOCALITES-ELECTRIFIEES,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,T4,2024,5,Progression électrification Kindia
IND-MENAGES-RACCORDES,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,T4,2024,365,Ménages raccordés Kindia
IND-ACCES-ELECTRICITE,PUERG,ZER-KINDIA,,,ANNUEL,2024,22,Taux d’accès rural estimé
IND-FINANCEMENT-MOBILISE,PUERG,,,,T4,2024,7800000,Financement mobilisé PUERG
IND-TAUX-EXECUTION,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,M12,2024,35,Exécution physique Kindia
IND-LOCALITES-TOTAL,PUERG,ZER-KINDIA,,,ANNUEL,2025,65,Localités couvertes dans la ZER Kindia
IND-LOCALITES-ELECTRIFIEES,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,T4,2025,18,Progression électrification Kindia
IND-MENAGES-RACCORDES,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,T4,2025,1280,Ménages raccordés Kindia
IND-ACCES-ELECTRICITE,PUERG,ZER-KINDIA,,,ANNUEL,2025,28,Taux d’accès rural estimé
IND-FINANCEMENT-MOBILISE,PUERG,,,,T4,2025,14200000,Financement mobilisé PUERG
IND-TAUX-EXECUTION,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,M12,2025,52,Exécution physique Kindia
IND-LOCALITES-TOTAL,PUERG,ZER-KINDIA,,,ANNUEL,2026,92,Localités couvertes dans la ZER Kindia
IND-LOCALITES-ELECTRIFIEES,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,T4,2026,38,Progression électrification Kindia
IND-MENAGES-RACCORDES,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,T4,2026,3150,Ménages raccordés Kindia
IND-ACCES-ELECTRICITE,PUERG,ZER-KINDIA,,,ANNUEL,2026,36,Taux d’accès rural estimé
